NAME	POS	EST. RETURN DATE	STATUS	COMMENT
Clint Capela	C	Oct 1	Out	Apr 17: Capela (hand) won't play in Friday's Play-In Game versus the Heat, Brad Rowland of the Locked On Podcast Network reports.
Larry Nance Jr.	PF	Oct 1	Out	Mar 26: The Hawks announced Wednesday that Nance (knee) will miss the rest of the season while recovering from a right medial femoral condyle fracture.
Jalen Johnson	SF	Oct 1	Out	Jan 29: Johnson has suffered a torn labrum in his left shoulder and will miss the rest of the 2024-25 season, NBA reporter Chris Haynes announced Wednesday.
Kobe Bufkin	G	Oct 1	Out	Dec 18: Bufkin will miss the remainder of the 2024-25 season as he undergoes surgery to address his right shoulder instability, Michael Scotto of USA Today reports.
Jrue Holiday	PG	May 5	Out	Apr 28: Holiday (hamstring) has been ruled out for Tuesday's game against the Magic, Justin Turpin of WEEI.com reports.
Ziaire Williams	F	Oct 1	Out	Apr 13: Williams (knee) has been ruled out for Sunday's game against New York, Sharif Phillips-Keaton of USA Today reports.
Reece Beekman	G	Oct 1	Out	Apr 13: Beekman (calf) has been ruled out for Sunday's game against the Knicks, Sharif Phillips-Keaton of USA Today reports.
Cameron Johnson	SF	Oct 1	Out	Apr 12: Johnson (back) has been ruled out for Sunday's game against the Knicks, Brian Lewis of the New York Post reports.
D'Angelo Russell	G	Oct 1	Out	Apr 12: Russell (ankle) has been ruled out for Sunday's game against New York, Brian Lewis of the New York Post reports.
Day'Ron Sharpe	C	Oct 1	Out	Apr 12: Sharpe (knee) has been ruled out for Sunday's regular-season finale against the Knicks, Brian Lewis of the New York Post reports.
Noah Clowney	F	Oct 1	Out	Apr 2: Nets coach Jordi Fernandez said Wednesday that Clowney (ankle) will miss the remainder of the 2024-25 regular season, C.J. Holmes of the New York Daily News reports.
Cam Thomas	SG	Oct 1	Out	Mar 15: The Nets announced Saturday that Thomas has been diagnosed with a left hamstring and is expected to miss the remainder of 2024-25 campaign.
Tre Jones	PG	Oct 1	Out	Apr 18: Bulls head coach Billy Donovan said prior to Wednesday's 109-90 loss to the Heat in the Eastern Conference Play-In Tournament that Jones (foot) is no longer using a walking boot, Jared Weiss of The Athletic reports.
Lonzo Ball	PG	Oct 1	Out	Apr 18: Ball said Thursday that he won't require surgery on his sprained right wrist and expects to have a normal offseason, K.C. Johnson of Chicago Sports Network reports.
Ayo Dosunmu	SG	Oct 1	Out	Apr 17: Dosunmu (shoulder) said Thursday that he is no longer wearing a brace and expects to resume 5-on-5 practice in August, K.C. Johnson of Chicago Sports Networkreports.
Darius Garland	PG	May 4	Day-To-Day	Apr 29: Garland (toe) is out for Monday's Game 4 against the Heat, Tom Withers of the Associated Press reports.
Kyrie Irving	PG	Jan 1	Out	Apr 16: The Mavericks are optimistic that Irving (knee) could return by the start of January, Shams Charania of ESPN reports.
Olivier-Maxence Prosper	F	Oct 1	Out	Mar 13: Prosper has been ruled out for the remainder of the 2024-25 season after undergoing surgery to repair a right wrist injury.
DaRon Holmes II	C	Jul 2	Out	Feb 23: Nuggets head coach Michael Malone said that Holmes (Achilles) was able to participate in portions of Wednesday's practice, Brendan Vogt of TheDNVR.com reports.
Isaiah Stewart	C	May 3	Out	May 1: Stewart (knee) is out for Thursday's Game 6 against the Knicks.
Jaden Ivey	PG	May 10	Out	Apr 26: The Pistons announced Saturday Ivey (lower leg) has progressed in his recovery to basketball shooting and skill drills, and his status will be updated in another two weeks.
Jock Landale	C	May 4	Out	May 1: Landale (knee) has been ruled out for Friday's Game 6 against the Warriors.
Jae'Sean Tate	SF	May 4	Out	Apr 26: Tate (ankle) isn't close to returning to action and doesn't have a timetable to step back into the hardwood, Danielle Lerner of the Houston Chronicle reports.
Isaiah Jackson	SF	Oct 1	Out	Nov 2: Jackson suffered a torn Achilles during Friday's game against the Pelicans, Shams Charania of ESPN reports.
Seth Lundy	G	Jul 2	Out	Apr 3: Lundy (ankle) isn't listed on the injury report for Friday's game against Dallas.
