"Lessives","Deodorants","EauDeToilette","ProdSoinCheveux","ProdSoinVisage","VernisOngleDissolv","NbPieceAvecProduitsChim","NettoyantDeSurface","AutreNettoyants","DesodoAreosolVaporisateur","DesodoAutreEnsens","InsecticideAerosol","InsecticidePoudreBlocGel","NettoySolAspiration","NettoySolBalaiSerp","NettoyAutreQueSol","CuissonFourTraditionnel","CuissonALeau","CuissonALaVapeur","CuissonParFriture","CuissonParGrillade","VoitureDansGarage","Fumeurs","SechageLingeDansLogement","UtiliseSecheLinge","NettASecVetements","PersExtPourMenage","TapisDescenteLitNeuf","NettASecTapisTissusmeuble","Plantes","Chiens","Chats","TraitementParasitesAnimaux","HamsterCochonLapin","InsecticideBlatteFourmie","SortirOrduresExterieur","OrduresDansPiece","EndroitStockageOrdures","Bricolage","Jardinage","ProtMatelSimple","ProtMatelImperm","ProtMatelAntiAcariens","outcome.Formldehyde","outcome.acetaldehyde","outcome.acroleine","outcome.hexaldehyde","outcome.benzene","outcome.1methoxy2propanol","outcome.trichloroethylene","outcome.toluene","outcome.tetrachloroethylene","outcome.styrene","outcome.2butoxyethanol","outcome.124trimethylbenzene","outcome.14dichlorobenzene","outcome.ndecane","outcome.Formldehyde.log","outcome.ac taldehyde.log","outcome.acroleine.log","outcome.hexaldehyde.log","outcome.benzene.log","outcome.1methoxy2propanol.log","outcome.trichloroethylene.log","outcome.toluene.log","outcome.t trachloroethylene.log","outcome.styrene.log","outcome.2butoxyethanol.log","outcome.124trimethylbenzene.log","outcome.14dichlorobenzene.log","outcome.ndecane.log"
3.5,14,14,1,7,0.5,0,7,3.5,3.5,0,3.5,0,1,3.5,1,0,3.5,0,1,3.5,"4","fum_2","SechLingInt_oui","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_2","Chien_non","Chat_oui","TttParAnimal_oui","HamLap_non","InsectFourmi_oui","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poubcouv","Brico1","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",10.17,6.44,0.56,5.18,1.2,0.25,0.5,15.74,0.79,0.32,1,1.57,0.85,2.23,2.41323161308111,2.006870848845,0.444685821261446,1.8213182714696,0.78845736036427,0.22314355131421,0.405465108108164,2.81780106506133,0.582215619852664,0.27763173659828,0.693147180559945,0.943905898907129,0.615185639090233,1.17248213723457
1.5,7,7,0,7,0,0,0,0,0,0,0,0,0,1,0,0,3.5,0,3.5,0,"4","fum_1","SechLingInt_non","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_1","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poub","Brico1","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",21.55,11.34,0.79,13.17,0.86,4.08,0.3,4.72,0.48,0.38,0.51,1.21,0.71,0.83,3.11573506594869,2.51284601847724,0.582215619852664,2.65112705370259,0.62057648772511,1.62531126159039,0.262364264467491,1.74396880539171,0.392042087776024,0.322083499169113,0.412109650826833,0.792992515529661,0.536493370514568,0.60431596685333
3.5,0,1,0.5,7,1,1,1,0,0,0,0,0,3.5,3.5,0,0,3.5,0,0,3.5,"4","fum_1","SechLingInt_oui","SechLingUtil_2","oui","AideMen_non","TapisNeuf_oui","NetSecTapis_non","plantes_1","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_meuble","Brico3","Jardin3","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",11.03,3.84,0.3,4.49,0.72,0.65,0.26,2.74,8.05,0.21,2.3,1.36,4.52,0.67,2.48740352998659,1.57691472072854,0.262364264467491,1.70292825552144,0.542324290825362,0.500775287912489,0.231111720963387,1.31908561142644,2.20276475771183,0.19062035960865,1.19392246847243,0.858661619037519,1.708377860289,0.512823626428664
7,14,10.5,10.5,7,0,0,7,1,7,7,0,14,7,0,7,0,3.5,0,0,3.5,"4","fum_2","SechLingInt_oui","SechLingUtil_1","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_2","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_oui","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poubcouv","Brico4","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",16.99,9.06,0.48,8.83,1.16,3.51,0.09,3.46,0.09,0.76,0,0.78,6.22,3.65,2.88981604796244,2.30856716467159,0.392042087776024,2.28543893415908,0.770108221696074,1.50629715351459,0.0861776962410524,1.49514876603197,0.0861776962410524,0.56531380905006,0,0.576613364303994,1.97685495290473,1.53686721959926
1.5,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"4","fum_1","SechLingInt_non","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_1","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poub","Brico1","Jardin1","HousseMat_non","HousseMatImper_oui","HousseMatAntiAc_non",11.8,10.67,2.54,20.7,1.74,3.13,0.26,3.41,0.28,0.4,0.15,1.73,1.16,2.33,2.54944517092557,2.45702144629846,1.26412672714568,3.07731226054641,1.00795792039998,1.41827740697294,0.231111720963387,1.48387468945875,0.246860077931526,0.336472236621213,0.139761942375159,1.00430160919687,0.770108221696074,1.20297230399235
1.5,7,7,3.5,7,1,0,1,3.5,3.5,0,0,0,0,3.5,1,1,0,3.5,0,0,"4","fum_1","SechLingInt_oui","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_1","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_2","OrdurePiece_oui","OrdureStock_poubcouv","Brico1","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",11.99,5.9,0.39,4.65,0.67,0.24,0.34,3.51,0.09,0.21,0.15,0.79,2.55,0.91,2.56417983068251,1.93152141160321,0.3293037471426,1.73165554515835,0.512823626428664,0.215111379616945,0.29266961396282,1.50629715351459,0.0861776962410524,0.19062035960865,0.139761942375159,0.582215619852664,1.26694760348732,0.647103242058539
7,35,35,1,35,0,0,1,0,1,0,0,0,1,7,1,0,0,3.5,3.5,0,"4","fum_3","SechLingInt_oui","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_1","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_oui","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poub","Brico1","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",23.85,17.12,1.95,9.73,1.79,0,0.09,4.43,0.32,0.42,0.55,0.46,0.13,0.15,3.21285775254264,2.89701630061483,1.08180517035173,2.37304355664261,1.02604159583327,0,0.0861776962410524,1.69193913394584,0.27763173659828,0.350656871613169,0.438254930931155,0.378436435720245,0.122217632724249,0.139761942375159
3.5,14,0,0.5,7,0,1,1,0,14,1,0,0,3.5,1,1,1,3.5,0,1,1,"4","fum_1","SechLingInt_non","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_3","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poubcouv","Brico5","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",10.09,3.16,0.21,0.72,1.1,0.24,0.09,22.5,0.09,0.23,0.15,0.53,0.42,0.74,2.40604380136228,1.42551507427317,0.19062035960865,0.542324290825362,0.741937344729377,0.215111379616945,0.0861776962410524,3.15700042115011,0.0861776962410524,0.207014169384326,0.139761942375159,0.425267735404344,0.350656871613169,0.553885113226438
1.5,7,3.5,0.5,10.5,0,0,0,0,0,0,0,0,1,1,0,3.5,3.5,0,0,3.5,"4","fum_3","SechLingInt_oui","SechLingUtil_5","oui","AideMen_oui","TapisNeuf_non","NetSecTapis_oui","plantes_1","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poub","Brico1","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",23.3,16.45,1.9,4.07,1.96,0.24,0.09,5.87,0.47,0.6,0.15,0.89,0.47,1.24,3.1904763503465,2.85933964864844,1.06471073699243,1.62334081760309,1.08518926833597,0.215111379616945,0.0861776962410524,1.92716410623426,0.385262400790645,0.470003629245736,0.139761942375159,0.636576829071551,0.385262400790645,0.806475865866949
7,0,1,0,7,0,0,1,0,0,7,0,0,0,7,1,0,0,7,0,0,"4","fum_1","SechLingInt_non","SechLingUtil_5","oui","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_1","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poubcouv","Brico1","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",17.26,10.04,0.87,8.98,1.48,0.58,0.62,20.46,1.64,0.5,0.67,2.71,1.16,2.14,2.90471287516682,2.40152504084895,0.625938430866495,2.30058309032337,0.908258560176891,0.457424847038875,0.482426149244293,3.06619073720255,0.970778917158225,0.405465108108164,0.512823626428664,1.31103187661934,0.770108221696074,1.14422279992016
