Player,Team,COLLEGE,COUNTRY,DRAFT.YEAR,DRAFT.ROUND,DRAFT.NUMBER,GP,PTS,REB,AST,NETRTG,W,L,Min,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,DREB,TOV,STL,BLK,PF,DD2,TD3,X...,Dist..Miles.Off,Dist..Miles.Def,Avg.Speed.Off,Avg.Speed.Def,Deflections,Loose.Balls.Recovered,Charges.Drawn,Contested.2PT.Shots,Contested.3PT.Shots,Travel,DOUBLE.DRIBBLE,DISC..DRIBBLE,OFF..3.SEC,INBOUND,BACK..COURT,OFF...GLTND,PALMING,OFF..FOUL,DEF...3.SEC,CHARGE,KICKED.BALL,blessure,age_cat,height_cat,weight_cat
A.J. Lawson,TOR,South Carolina,Canada,Undrafted,Undrafted,Undrafted,26,9.1,3.3,1.2,-1.4,14,12,18.7,3.1,7.3,1.3,3.9,1.7,2.4,0.8,2.5,0.6,0.5,0.2,1.7,2,0,-0.7,0.84,0.77,5.02,4.51,1.1,0.3,0,1.2,0.9,0,0,0,0,0,0,0,0,0,0,0,2,Non blessé,joueur mature,moyen,léger
Aaron Gordon,DEN,Arizona,USA,2014,1,4,51,14.7,4.8,3.2,9.5,33,18,28.4,5.2,9.7,1.5,3.4,2.8,3.5,1.6,3.3,1.4,0.5,0.3,1.6,3,0,5.9,1.06,0.97,4.29,3.73,0.9,0.4,0,2.3,1,4,0,0,0,0,1,1,0,10,0,7,0,Non blessé,joueur expérimenté,grand,lourd
Aaron Holiday,HOU,UCLA,USA,2018,1,23,62,5.5,1.3,1.3,6.7,39,23,12.8,1.9,4.3,1.2,2.9,0.5,0.7,0.2,1,0.6,0.3,0.2,1,0,0,1.4,0.51,0.45,4.36,3.9,0.9,0.3,0.02,1,1,0,0,0,0,0,0,0,1,4,0,1,0,Non blessé,joueur expérimenté,petit,léger
Aaron Nesmith,IND,Vanderbilt,USA,2020,1,14,45,12,4,1.2,8.5,29,16,24.9,4.3,8.4,1.9,4.3,1.6,1.8,0.8,3.1,0.8,0.8,0.4,2.5,0,0,4.4,1.01,0.99,4.79,4.21,1.2,0.5,0.16,2.9,2.2,2,0,0,0,0,0,0,0,8,2,3,4,Non blessé,joueur mature,moyen,moyen
Aaron Wiggins,OKC,Maryland,USA,2021,2,55,76,12,3.9,1.8,14.2,62,14,22.9,4.7,9.6,1.7,4.5,1,1.2,1.1,2.8,0.9,0.8,0.2,1.3,2,0,6.8,1.01,0.89,5.08,4.22,1.7,0.5,0.01,2.3,2.2,4,0,0,0,0,0,0,0,2,2,0,1,Non blessé,joueur expérimenté,moyen,léger
Adam Flagler,OKC,Baylor,USA,Undrafted,Undrafted,Undrafted,37,1.8,0.7,0.3,2.3,34,3,5.5,0.7,2.6,0.4,1.9,0,0.1,0.2,0.5,0.1,0.2,0.1,0.4,0,0,0.2,0.22,0.19,4.33,4,0.7,0.4,0,0.3,1.1,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,petit,léger
Adama Sanogo,CHI,Connecticut,Mali,Undrafted,Undrafted,Undrafted,4,2,1.5,0.3,-18.1,2,2,5.4,1,1.8,0,0,0,0,1.3,0.3,0.3,0,0,0.3,0,0,-1.3,0.21,0.2,4.67,4.16,0.3,0,0,1.3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,grand,lourd
Adem Bona,PHI,UCLA,Nigeria,2024,2,41,58,5.8,4.2,0.5,-6.6,12,46,15.6,2.3,3.3,0,0,1.2,1.7,1.6,2.6,1.1,0.4,1.2,2.2,3,0,-1.9,0.64,0.58,4.53,4.16,1.1,0.3,0,3.9,1.4,1,0,0,0,1,0,0,0,22,1,3,3,Non blessé,jeune joueur,grand,lourd
AJ Green,MIL,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,73,7.4,2.4,1.5,6.4,44,29,22.7,2.5,5.8,2.1,5,0.3,0.4,0.2,2.1,0.5,0.5,0.1,2.2,0,0,3.1,0.98,0.83,4.89,4.06,0.9,0.4,0.07,1.8,1.5,1,0,0,0,1,0,0,0,6,0,0,0,Non blessé,joueur mature,moyen,léger
AJ Johnson,WAS,None,USA,2024,1,23,29,7.6,2,2.6,-11.5,8,21,22,2.8,7.3,0.8,3.1,1.1,1.3,0.3,1.8,1.2,0.4,0.1,1.7,0,0,-5.2,0.96,0.8,4.91,4.08,1.1,0.4,0,2,1.6,3,1,0,0,0,0,0,0,2,0,0,1,Non blessé,jeune joueur,moyen,léger
Ajay Mitchell,OKC,California-Santa Barbara,Belgium,2024,2,38,36,6.5,1.9,1.8,9.7,31,5,16.6,2.5,5.1,0.6,1.7,0.8,1,0.5,1.4,0.8,0.7,0.1,1.9,1,0,3.5,0.72,0.64,4.97,4.27,1.3,0.3,0.08,1.4,0.8,1,0,0,0,0,0,0,0,3,1,2,1,Non blessé,jeune joueur,moyen,léger
Al Horford,BOS,Florida,Dominican Republic,2007,1,3,60,9,6.2,2.1,11.5,44,16,27.6,3.3,7.7,1.9,5.2,0.6,0.6,1.3,4.8,0.8,0.6,0.9,1.4,7,0,6.6,1.01,0.91,4.04,3.91,1.3,0.3,0,4,3.1,1,1,0,0,0,1,0,0,5,2,1,0,Non blessé,joueur vétéran,grand,lourd
Alec Burks,MIA,Colorado,USA,2011,1,12,49,7.3,2.5,1.1,5.9,26,23,17.6,2.3,5.5,1.8,4.2,0.8,1,0.3,2.2,0.6,0.6,0.1,0.8,0,0,2.2,0.7,0.62,4.33,4.03,1,0.2,0,1,1.2,0,1,0,0,0,1,0,0,3,0,0,1,Non blessé,joueur vétéran,moyen,moyen
