Player,Height,Height_catgrand,Height_catmoyen,Height_catpetit
A.J. Lawson,198,0,1,0
Aaron Gordon,203,1,0,0
Aaron Holiday,182,0,0,1
Aaron Nesmith,198,0,1,0
Aaron Wiggins,195,0,1,0
Adam Flagler,190,0,0,1
Adama Sanogo,205,1,0,0
Adem Bona,208,1,0,0
AJ Green,193,0,1,0
AJ Johnson,195,0,1,0
Ajay Mitchell,195,0,1,0
Al Horford,205,1,0,0
Alec Burks,195,0,1,0
Alex Caruso,195,0,1,0
Alex Ducas,200,0,1,0
Alex Len,213,1,0,0
Alex Reese,205,1,0,0
Alex Sarr,213,1,0,0
Alondes Williams,193,0,1,0
Alperen Sengun,210,1,0,0
Amen Thompson,200,0,1,0
Amir Coffey,200,0,1,0
Andre Drummond,210,1,0,0
Andre Jackson Jr.,198,0,1,0
Andrew Nembhard,193,0,1,0
Andrew Wiggins,200,0,1,0
Anfernee Simons,190,0,0,1
Anthony Black,200,0,1,0
Anthony Davis,208,1,0,0
Anthony Edwards,193,0,1,0
Anthony Gill,203,1,0,0
Anton Watson,203,1,0,0
Antonio Reeves,195,0,1,0
Ariel Hukporti,210,1,0,0
Armel Traoré,205,1,0,0
Ausar Thompson,198,0,1,0
Austin Reaves,195,0,1,0
Ayo Dosunmu,195,0,1,0
Bam Adebayo,205,1,0,0
Baylor Scheierman,198,0,1,0
Ben Sheppard,198,0,1,0
Ben Simmons,208,1,0,0
Bennedict Mathurin,195,0,1,0
Bilal Coulibaly,203,1,0,0
Bismack Biyombo,203,1,0,0
Blake Wesley,190,0,0,1
Bobby Portis,208,1,0,0
Bobi Klintman,205,1,0,0
Bogdan Bogdanović,195,0,1,0
Bol Bol,220,1,0,0
Bones Hyland,187,0,0,1
Bradley Beal,193,0,1,0
Branden Carlson,213,1,0,0
Brandin Podziemski,193,0,1,0
Brandon Boston,198,0,1,0
Brandon Clarke,203,1,0,0
Brandon Ingram,203,1,0,0
Brandon Miller,200,0,1,0
Brandon Williams,185,0,0,1
Braxton Key,203,1,0,0
Brice Sensabaugh,195,0,1,0
Bronny James,190,0,0,1
Brook Lopez,215,1,0,0
Bruce Brown,193,0,1,0
Bruno Fernando,205,1,0,0
Bryce McGowens,198,0,1,0
Bub Carrington,193,0,1,0
Buddy Hield,193,0,1,0
Cade Cunningham,198,0,1,0
Caleb Houstan,203,1,0,0
Caleb Martin,195,0,1,0
Cam Christie,198,0,1,0
Cam Reddish,200,0,1,0
Cam Spencer,193,0,1,0
Cam Thomas,190,0,0,1
Cam Whitmore,200,0,1,0
Cameron Johnson,203,1,0,0
Cameron Payne,190,0,0,1
Caris LeVert,198,0,1,0
Cason Wallace,190,0,0,1
Charles Bassey,208,1,0,0
Chet Holmgren,215,1,0,0
Chris Boucher,205,1,0,0
Chris Duarte,195,0,1,0
Chris Livingston,198,0,1,0
Chris Paul,182,0,0,1
Christian Braun,198,0,1,0
Christian Koloko,213,1,0,0
Chuma Okeke,200,0,1,0
CJ McCollum,190,0,0,1
Clint Capela,208,1,0,0
Coby White,195,0,1,0
Cody Martin,198,0,1,0
Cody Williams,200,0,1,0
Colby Jones,198,0,1,0
Cole Anthony,187,0,0,1
Cole Swider,203,1,0,0
Colin Castleton,208,1,0,0
Collin Gillespie,185,0,0,1
Collin Sexton,190,0,0,1
Corey Kispert,198,0,1,0
Cory Joseph,187,0,0,1
Craig Porter Jr.,185,0,0,1
Cui Yongxi,195,0,1,0
D.J. Carton,190,0,0,1
D'Angelo Russell,190,0,0,1
Daeqwon Plowden,198,0,1,0
Daishen Nix,193,0,1,0
Dalano Banton,203,1,0,0
Dalen Terry,200,0,1,0
Dalton Knecht,198,0,1,0
Damian Lillard,187,0,0,1
Damion Baugh,193,0,1,0
Damion Lee,198,0,1,0
Daniel Gafford,208,1,0,0
Daniel Theis,203,1,0,0
Daniss Jenkins,190,0,0,1
Danté Exum,195,0,1,0
DaQuan Jeffries,195,0,1,0
Dario Šarić,208,1,0,0
Dariq Whitehead,198,0,1,0
Darius Garland,185,0,0,1
David Duke Jr.,193,0,1,0
David Roddy,193,0,1,0
Davion Mitchell,182,0,0,1
Day'Ron Sharpe,205,1,0,0
De'Aaron Fox,190,0,0,1
De'Andre Hunter,203,1,0,0
De'Anthony Melton,190,0,0,1
Dean Wade,205,1,0,0
Deandre Ayton,213,1,0,0
DeAndre Jordan,210,1,0,0
Dejounte Murray,193,0,1,0
Delon Wright,195,0,1,0
DeMar DeRozan,198,0,1,0
Deni Avdija,205,1,0,0
Dennis Schröder,185,0,0,1
Dereck Lively II,215,1,0,0
Derrick Jones Jr.,198,0,1,0
Derrick White,193,0,1,0
Desmond Bane,195,0,1,0
Devin Booker,198,0,1,0
Devin Carter,187,0,0,1
Devin Vassell,195,0,1,0
Dillon Brooks,198,0,1,0
Dillon Jones,195,0,1,0
Domantas Sabonis,208,1,0,0
Dominick Barlow,203,1,0,0
Donovan Clingan,218,1,0,0
Donovan Mitchell,190,0,0,1
Donte DiVincenzo,193,0,1,0
Dorian Finney-Smith,200,0,1,0
Doug McDermott,198,0,1,0
Draymond Green,198,0,1,0
Drew Eubanks,208,1,0,0
Drew Peterson,205,1,0,0
Drew Timme,208,1,0,0
Dru Smith,187,0,0,1
Duncan Robinson,200,0,1,0
Duop Reath,205,1,0,0
Dwight Powell,208,1,0,0
Dyson Daniels,200,0,1,0
E.J. Liddell,198,0,1,0
Elfrid Payton,190,0,0,1
Elijah Harkless,190,0,0,1
Emanuel Miller,200,0,1,0
Emoni Bates,203,1,0,0
Enrique Freeman,200,0,1,0
Eric Gordon,190,0,0,1
Evan Mobley,210,1,0,0
Franz Wagner,208,1,0,0
Fred VanVleet,182,0,0,1
Gabe Vincent,187,0,0,1
Garrett Temple,195,0,1,0
Garrison Mathews,198,0,1,0
Gary Harris,193,0,1,0
Gary Payton II,187,0,0,1
Gary Trent Jr.,195,0,1,0
Georges Niang,200,0,1,0
GG Jackson,205,1,0,0
Giannis Antetokounmpo,210,1,0,0
Goga Bitadze,208,1,0,0
Gradey Dick,198,0,1,0
Grant Williams,198,0,1,0
Grayson Allen,193,0,1,0
Guerschon Yabusele,203,1,0,0
Gui Santos,198,0,1,0
Harrison Barnes,203,1,0,0
Harrison Ingram,195,0,1,0
Haywood Highsmith,195,0,1,0
Herbert Jones,200,0,1,0
Hunter Tyson,203,1,0,0
Immanuel Quickley,187,0,0,1
Isaac Jones,205,1,0,0
Isaac Okoro,195,0,1,0
Isaiah Collier,190,0,0,1
Isaiah Crawford,198,0,1,0
Isaiah Hartenstein,213,1,0,0
Isaiah Jackson,205,1,0,0
Isaiah Joe,190,0,0,1
Isaiah Mobley,203,1,0,0
Isaiah Stevens,182,0,0,1
Isaiah Stewart,203,1,0,0
Isaiah Wong,190,0,0,1
Ivica Zubac,213,1,0,0
Ja Morant,187,0,0,1
Ja'Kobe Walter,195,0,1,0
Jabari Smith Jr.,208,1,0,0
Jabari Walker,200,0,1,0
Jack McVeigh,203,1,0,0
Jackson Rowe,200,0,1,0
Jacob Toppin,203,1,0,0
Jaden Hardy,190,0,0,1
Jaden Ivey,193,0,1,0
Jaden McDaniels,205,1,0,0
Jaden Springer,193,0,1,0
Jae Crowder,198,0,1,0
Jae'Sean Tate,193,0,1,0
Jahlil Okafor,208,1,0,0
Jahmir Young,185,0,0,1
Jaime Jaquez Jr.,198,0,1,0
Jake LaRavia,200,0,1,0
Jakob Poeltl,213,1,0,0
Jalen Bridges,203,1,0,0
Jalen Brunson,187,0,0,1
Jalen Duren,208,1,0,0
Jalen Green,193,0,1,0
Jalen Hood-Schifino,195,0,1,0
Jalen Johnson,203,1,0,0
Jalen McDaniels,205,1,0,0
Jalen Pickett,187,0,0,1
Jalen Smith,205,1,0,0
Jalen Suggs,195,0,1,0
Jalen Williams,195,0,1,0
Jalen Wilson,198,0,1,0
Jamal Cain,198,0,1,0
Jamal Murray,193,0,1,0
Jamal Shead,185,0,0,1
Jamaree Bouyea,187,0,0,1
James Harden,195,0,1,0
James Johnson,200,0,1,0
James Wiseman,210,1,0,0
Jamison Battle,200,0,1,0
Jarace Walker,200,0,1,0
Jared Butler,190,0,0,1
Jared McCain,190,0,0,1
Jared Rhoden,195,0,1,0
Jaren Jackson Jr.,208,1,0,0
Jarred Vanderbilt,203,1,0,0
Jarrett Allen,205,1,0,0
Javonte Green,195,0,1,0
Jaxson Hayes,213,1,0,0
Jay Huff,215,1,0,0
Jaylen Brown,198,0,1,0
Jaylen Clark,193,0,1,0
Jaylen Martin,198,0,1,0
Jaylen Nowell,193,0,1,0
Jaylen Sims,198,0,1,0
Jaylen Wells,203,1,0,0
Jaylin Williams,205,1,0,0
Jaylon Tyson,198,0,1,0
Jayson Tatum,203,1,0,0
Jazian Gortman,187,0,0,1
JD Davison,185,0,0,1
Jeff Dowtin Jr.,190,0,0,1
Jeff Green,203,1,0,0
Jerami Grant,200,0,1,0
Jeremiah Robinson-Earl,203,1,0,0
Jeremy Sochan,203,1,0,0
Jericho Sims,208,1,0,0
Jesse Edwards,213,1,0,0
Jett Howard,198,0,1,0
Jevon Carter,185,0,0,1
Jimmy Butler III,200,0,1,0
Jock Landale,210,1,0,0
Joe Ingles,203,1,0,0
Joel Embiid,213,1,0,0
John Collins,205,1,0,0
John Konchar,195,0,1,0
Johnny Davis,193,0,1,0
Johnny Furphy,205,1,0,0
Johnny Juzang,195,0,1,0
Jonas Valančiūnas,210,1,0,0
Jonathan Isaac,208,1,0,0
Jonathan Kuminga,200,0,1,0
Jonathan Mogbo,205,1,0,0
Jordan Clarkson,190,0,0,1
Jordan Goodwin,195,0,1,0
Jordan Hawkins,195,0,1,0
Jordan McLaughlin,182,0,0,1
Jordan Miller,195,0,1,0
Jordan Poole,193,0,1,0
