Player Team Age Height Weight COLLEGE COUNTRY "DRAFT YEAR" "DRAFT ROUND" "DRAFT NUMBER" GP PTS REB AST NETRTG OREB% DREB% USG% TS% AST% W L Min PTS FGM FGA FG% 3PM 3PA 3P% FTM FTA FT% OREB DREB REB AST TOV STL BLK PF FP DD2 TD3 +/- Dist. Feet Dist. Miles Dist. Miles Off Dist. Miles Def Avg Speed Avg Speed Off Avg Speed Def "Screen Assists" "Screen Assists PTS" Deflections "OFF Loose Balls Recovered" "DEF Loose Balls Recovered" "Loose Balls Recovered" "% Loose Balls Recovered OFF" "% Loose Balls Recovered DEF" "Charges Drawn" "Contested 2PT Shots" "Contested 3PT Shots" "Contested Shots" Travel "DOUBLE DRIBBLE" "DISC. DRIBBLE" "OFF. 3 SEC" INBOUND "BACK- COURT" "OFF.  GLTND" PALMING "OFF. FOUL" "DEF.  3 SEC" CHARGE "DEF.  GLTND" LANE "JUMP BALL" "KICKED BALL"
"A.J. Lawson" TOR 24 6-6 179 "South Carolina" Canada Undrafted Undrafted Undrafted 26.0 9.1 3.3 1.2 -1.4 3.6 12.8 18.9 54.2 9.3 14 12 18.7 9.1 3.1 7.3 42.1 1.3 3.9 32.7 1.7 2.4 68.3 0.8 2.5 3.3 1.2 0.6 0.5 0.2 1.7 16.5 2.0 0.0 -0.7 8472.4 1.60 0.84 0.77 4.76 5.02 4.51 0.3 0.7 1.1 0.0 0.2 0.3 16.7 83.3 0.00 1.2 0.9 2.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"Aaron Gordon" DEN 29 6-8 235 Arizona USA 2014 1 4 51.0 14.7 4.8 3.2 9.5 6.0 10.9 18.6 65.0 14.3 33 18 28.4 14.7 5.2 9.7 53.1 1.5 3.4 43.6 2.8 3.5 81.0 1.6 3.3 4.8 3.2 1.4 0.5 0.3 1.6 26.0 3.0 0.0 5.9 10697.8 2.03 1.06 0.97 4.00 4.29 3.73 0.8 1.8 0.9 0.2 0.2 0.4 55.0 45.0 0.00 2.3 1.0 3.3 4 0 0 0 0 1 1 0 10 0 7 0 0 0 0
"Aaron Holiday" HOU 28 6-0 185 UCLA USA 2018 1 23 62.0 5.5 1.3 1.3 6.7 1.5 7.3 16.2 59.4 14.2 39 23 12.8 5.5 1.9 4.3 43.7 1.2 2.9 39.8 0.5 0.7 82.9 0.2 1.0 1.3 1.3 0.6 0.3 0.2 1.0 9.9 0.0 0.0 1.4 5042.9 0.96 0.51 0.45 4.13 4.36 3.90 0.1 0.1 0.9 0.2 0.1 0.3 70.6 29.4 0.02 1.0 1.0 1.9 0 0 0 0 0 0 0 1 4 0 1 0 0 0 0
"Aaron Nesmith" IND 25 6-6 215 Vanderbilt USA 2020 1 14 45.0 12.0 4.0 1.2 8.5 3.4 11.8 17.1 65.3 6.3 29 16 24.9 12.0 4.3 8.4 50.7 1.9 4.3 43.1 1.6 1.8 91.3 0.8 3.1 4.0 1.2 0.8 0.8 0.4 2.5 21.2 0.0 0.0 4.4 10558.4 2.00 1.01 0.99 4.48 4.79 4.21 0.3 0.7 1.2 0.3 0.2 0.5 60.9 39.1 0.16 2.9 2.2 5.1 2 0 0 0 0 0 0 0 8 2 3 3 0 0 4
"Aaron Wiggins" OKC 26 6-5 190 Maryland USA 2021 2 55 76.0 12.0 3.9 1.8 14.2 4.6 11.3 20.0 59.6 10.2 62 14 22.9 12.0 4.7 9.6 48.8 1.7 4.5 38.3 1.0 1.2 83.1 1.1 2.8 3.9 1.8 0.9 0.8 0.2 1.3 21.5 2.0 0.0 6.8 10031.2 1.90 1.01 0.89 4.64 5.08 4.22 0.4 0.8 1.7 0.3 0.2 0.5 52.6 47.4 0.01 2.3 2.2 4.5 4 0 0 0 0 0 0 0 2 2 0 0 0 0 1
"Adam Flagler" OKC 25 6-3 180 Baylor USA Undrafted Undrafted Undrafted 37.0 1.8 0.7 0.3 2.3 2.9 8.6 20.7 33.5 9.4 34 3 5.5 1.8 0.7 2.6 26.0 0.4 1.9 19.4 0.0 0.1 50.0 0.2 0.5 0.7 0.3 0.1 0.2 0.1 0.4 3.9 0.0 0.0 0.2 2173.1 0.41 0.22 0.19 4.17 4.33 4.00 0.3 0.6 0.7 0.0 0.4 0.4 0.0 100 0.00 0.3 1.1 1.4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Adama Sanogo" CHI 23 6-9 245 Connecticut Mali Undrafted Undrafted Undrafted 4.0 2.0 1.5 0.3 -18.1 21.7 5.3 14.5 57.1 6.7 2 2 5.4 2.0 1.0 1.8 57.1 0.0 0.0 0.0 0.0 0.0 0.0 1.3 0.3 1.5 0.3 0.3 0.0 0.0 0.3 3.9 0.0 0.0 -1.3 2188.0 0.41 0.21 0.20 4.41 4.67 4.16 1.7 4.0 0.3 0.0 0.0 0.0 0.0 0.0 0.00 1.3 1.7 3.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adem Bona" PHI 22 6-10 235 UCLA Nigeria 2024 2 41 58.0 5.8 4.2 0.5 -6.6 9.7 16.4 13.5 71.4 4.3 12 46 15.6 5.8 2.3 3.3 70.3 0.0 0.0 0.0 1.2 1.7 67.0 1.6 2.6 4.2 0.5 1.1 0.4 1.2 2.2 15.4 3.0 0.0 -1.9 6435.1 1.22 0.64 0.58 4.35 4.53 4.16 2.1 4.9 1.1 0.1 0.1 0.3 53.3 46.7 0.00 3.9 1.4 5.3 1 0 0 0 1 0 0 0 22 1 3 16 0 0 3
"AJ Green" MIL 25 6-4 190 "Northern Iowa" USA Undrafted Undrafted Undrafted 73.0 7.4 2.4 1.5 6.4 1.1 8.7 12.3 62.1 8.6 44 29 22.7 7.4 2.5 5.8 42.9 2.1 5.0 42.7 0.3 0.4 81.5 0.2 2.1 2.4 1.5 0.5 0.5 0.1 2.2 13.8 0.0 0.0 3.1 9547.5 1.81 0.98 0.83 4.47 4.89 4.06 0.4 0.9 0.9 0.1 0.3 0.4 37.9 62.1 0.07 1.8 1.5 3.3 1 0 0 0 1 0 0 0 6 0 0 0 1 0 0
"AJ Johnson" WAS 20 6-5 160 None USA 2024 1 23 29.0 7.6 2.0 2.6 -11.5 1.1 7.3 17.3 48.0 17.8 8 21 22.0 7.6 2.8 7.3 38.5 0.8 3.1 26.7 1.1 1.3 86.5 0.3 1.8 2.0 2.6 1.2 0.4 0.1 1.7 14.3 0.0 0.0 -5.2 9316.1 1.76 0.96 0.80 4.49 4.91 4.08 0.1 0.2 1.1 0.2 0.2 0.4 44.4 55.6 0.00 2.0 1.6 3.6 3 1 0 0 0 0 0 0 2 0 0 1 0 0 1
"Ajay Mitchell" OKC 22 6-5 190 "California-Santa Barbara" Belgium 2024 2 38 36.0 6.5 1.9 1.8 9.7 2.8 8.0 15.9 58.7 15.3 31 5 16.6 6.5 2.5 5.1 49.5 0.6 1.7 38.3 0.8 1.0 82.9 0.5 1.4 1.9 1.8 0.8 0.7 0.1 1.9 13.0 1.0 0.0 3.5 7222.1 1.37 0.72 0.64 4.60 4.97 4.27 0.1 0.4 1.3 0.2 0.1 0.3 54.5 45.5 0.08 1.4 0.8 2.3 1 0 0 0 0 0 0 0 3 1 2 0 0 0 1
"Al Horford" BOS 38 6-9 240 Florida "Dominican Republic" 2007 1 3 60.0 9.0 6.2 2.1 11.5 4.6 16.5 13.6 56.3 10.2 44 16 27.6 9.0 3.3 7.7 42.3 1.9 5.2 36.3 0.6 0.6 89.5 1.3 4.8 6.2 2.1 0.8 0.6 0.9 1.4 23.1 7.0 0.0 6.6 10112.1 1.92 1.01 0.91 3.98 4.04 3.91 1.6 4.2 1.3 0.2 0.1 0.3 55.6 44.4 0.00 4.0 3.1 7.1 1 1 0 0 0 1 0 0 5 2 1 1 0 0 0
"Alec Burks" MIA 33 6-5 214 Colorado USA 2011 1 12 49.0 7.3 2.5 1.1 5.9 1.8 11.9 16.0 60.8 9.0 26 23 17.6 7.3 2.3 5.5 42.4 1.8 4.2 42.5 0.8 1.0 77.6 0.3 2.2 2.5 1.1 0.6 0.6 0.1 0.8 13.5 0.0 0.0 2.2 6929.9 1.31 0.70 0.62 4.18 4.33 4.03 0.2 0.4 1.0 0.1 0.1 0.2 44.4 55.6 0.00 1.0 1.2 2.3 0 1 0 0 0 1 0 0 3 0 0 0 0 0 1
"Alex Caruso" OKC 31 6-5 186 "Texas A&M" USA Undrafted Undrafted Undrafted 54.0 7.1 2.9 2.5 15.0 3.5 10.8 14.7 56.8 17.1 44 10 19.3 7.1 2.6 5.8 44.6 1.1 3.1 35.3 0.8 0.9 82.4 0.7 2.2 2.9 2.5 0.7 1.6 0.6 1.9 20.2 0.0 0.0 5.9 8123.4 1.54 0.80 0.74 4.42 4.78 4.09 0.6 1.4 3.5 0.1 0.3 0.5 33.3 66.7 0.15 1.4 1.7 3.1 1 0 0 0 0 0 0 0 3 0 0 1 0 0 2
"Alex Ducas" OKC 24 6-7 220 "St.Mary's College of California" Australia Undrafted Undrafted Undrafted 21.0 1.7 1.2 0.2 -6.7 6.0 11.9 11.5 58.3 5.8 20 1 6.0 1.7 0.6 1.4 40.0 0.5 1.0 47.6 0.1 0.1 100 0.4 0.8 1.2 0.2 0.2 0.2 0.0 0.6 4.1 0.0 0.0 -1.0 2448.1 0.46 0.26 0.21 4.29 4.52 4.13 0.1 0.1 0.5 0.1 0.1 0.2 66.7 33.3 0.00 0.4 0.2 0.6 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Alex Len" LAL 31 7-0 250 Maryland Ukraine 2013 1 5 46.0 1.6 2.1 0.8 -17.5 9.4 14.2 10.1 52.5 14.3 21 25 8.3 1.6 0.7 1.4 50.8 0.0 0.2 22.2 0.2 0.4 47.1 0.8 1.2 2.1 0.8 0.4 0.2 0.5 1.2 6.8 0.0 0.0 -3.3 3430.8 0.65 0.34 0.31 4.41 4.65 4.17 1.3 3.2 0.5 0.2 0.1 0.3 53.8 46.2 0.00 2.6 1.0 3.6 1 0 0 1 0 0 0 0 5 0 0 1 0 0 0
"Alex Reese" PHI 25 6-9 245 Alabama USA Undrafted Undrafted Undrafted 15.0 5.1 3.1 0.3 5.5 4.1 16.1 12.3 64.1 2.3 4 11 14.4 5.1 1.7 3.6 48.1 1.0 2.7 36.6 0.6 0.8 75.0 0.6 2.5 3.1 0.3 0.4 0.7 0.7 1.4 12.8 0.0 0.0 1.3 6198.8 1.17 0.61 0.56 4.54 4.87 4.21 1.1 2.4 1.0 0.1 0.1 0.2 66.7 33.3 0.13 3.3 1.9 5.1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0
"Alex Sarr" WAS 20 7-0 205 None France 2024 1 2 67.0 13.0 6.5 2.4 -13.7 6.0 15.8 23.0 48.2 13.9 13 54 27.1 13.0 4.9 12.4 39.4 1.6 5.1 30.8 1.7 2.5 67.9 1.9 4.6 6.5 2.4 1.7 0.7 1.5 2.2 29.2 10.0 0.0 -8.1 11173.5 2.12 1.12 1.00 4.41 4.76 4.07 3.9 9.0 1.5 0.3 0.3 0.6 55.3 44.7 0.00 6.8 2.3 9.1 5 0 0 0 0 2 0 0 16 3 4 8 0 0 8
"Alondes Williams" DET 25 6-4 210 "Wake Forest" USA Undrafted Undrafted Undrafted 1.0 5.0 0.0 1.0 85.7 0.0 0.0 28.6 125.0 33.3 0 1 3.7 5.0 2.0 2.0 100 1.0 1.0 100 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 6.5 0.0 0.0 6.0 1488.0 0.28 0.10 0.18 4.27 4.01 4.41 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alperen Sengun" HOU 22 6-11 243 None Turkey 2021 1 16 76.0 19.1 10.3 4.9 7.6 9.9 21.0 25.9 54.5 23.8 52 24 31.5 19.1 7.5 15.0 49.6 0.3 1.2 23.3 3.9 5.6 69.2 3.4 6.9 10.3 4.9 2.6 1.1 0.8 2.8 42.0 45.0 4.0 5.4 11788.5 2.23 1.17 1.06 3.97 4.07 3.87 3.3 7.9 2.4 0.6 0.2 0.8 77.6 22.4 0.09 6.5 2.6 9.1 18 0 0 3 0 0 0 2 30 2 5 8 2 0 17
"Amen Thompson" HOU 22 6-7 200 None USA 2023 1 4 69.0 14.1 8.2 3.8 6.3 7.8 15.9 17.2 60.2 16.7 43 26 32.3 14.1 5.6 10.1 55.7 0.4 1.3 27.5 2.4 3.6 68.4 2.8 5.4 8.2 3.8 2.0 1.4 1.3 2.4 35.7 21.0 3.0 3.9 13219.9 2.50 1.32 1.18 4.33 4.55 4.11 0.4 0.9 2.9 0.4 0.4 0.8 47.2 52.8 0.04 3.3 1.4 4.6 9 0 0 0 1 1 1 0 15 0 8 4 0 0 0
