Player,,Weight_catlight_player,Weight_catmedium_player,Weight_catheavy_player
A.J. Lawson,81.192968,1,0,0
Aaron Gordon,106.59412,0,0,1
Aaron Holiday,83.91452,1,0,0
Aaron Nesmith,97.52228,0,1,0
Aaron Wiggins,86.18248,1,0,0
Adam Flagler,81.64656,1,0,0
Adama Sanogo,111.13004,0,0,1
Adem Bona,106.59412,0,0,1
AJ Green,86.18248,1,0,0
AJ Johnson,72.57472,1,0,0
Ajay Mitchell,86.18248,1,0,0
Al Horford,108.86208,0,0,1
Alec Burks,97.068688,0,1,0
Alex Caruso,84.368112,1,0,0
Alex Ducas,99.79024,0,1,0
Alex Len,113.398,0,0,1
Alex Reese,111.13004,0,0,1
Alex Sarr,92.98636,1,0,0
Alondes Williams,95.25432,0,1,0
Alperen Sengun,110.222856,0,0,1
Amen Thompson,90.7184,1,0,0
Amir Coffey,95.25432,0,1,0
Andre Drummond,126.552168,0,0,1
Andre Jackson Jr.,94.800728,0,1,0
Andrew Nembhard,86.636072,1,0,0
Andrew Wiggins,89.357624,1,0,0
Anfernee Simons,90.7184,1,0,0
Anthony Black,90.7184,1,0,0
Anthony Davis,114.758776,0,0,1
Anthony Edwards,102.0582,0,1,0
Anthony Gill,104.32616,0,1,0
Anton Watson,102.0582,0,1,0
Antonio Reeves,92.98636,1,0,0
Ariel Hukporti,111.583632,0,0,1
Armel Traoré,111.13004,0,0,1
Ausar Thompson,92.98636,1,0,0
Austin Reaves,89.357624,1,0,0
Ayo Dosunmu,90.7184,1,0,0
Bam Adebayo,115.66596,0,0,1
Baylor Scheierman,92.98636,1,0,0
Ben Sheppard,86.18248,1,0,0
Ben Simmons,108.86208,0,0,1
Bennedict Mathurin,95.25432,0,1,0
Bilal Coulibaly,88.45044,1,0,0
Bismack Biyombo,115.66596,0,0,1
Blake Wesley,83.91452,1,0,0
Bobby Portis,113.398,0,0,1
Bobi Klintman,102.0582,0,1,0
Bogdan Bogdanović,102.0582,0,1,0
Bol Bol,99.79024,0,1,0
Bones Hyland,76.657048,1,0,0
Bradley Beal,93.893544,0,1,0
Branden Carlson,99.79024,0,1,0
Brandin Podziemski,92.98636,1,0,0
Brandon Boston,85.275296,1,0,0
Brandon Clarke,97.52228,0,1,0
Brandon Ingram,86.18248,1,0,0
Brandon Miller,90.7184,1,0,0
Brandon Williams,86.18248,1,0,0
Braxton Key,102.0582,0,1,0
Brice Sensabaugh,106.59412,0,0,1
Bronny James,95.25432,0,1,0
Brook Lopez,127.912944,0,0,1
Bruce Brown,91.625584,1,0,0
Bruno Fernando,108.86208,0,0,1
Bryce McGowens,86.18248,1,0,0
Bub Carrington,86.18248,1,0,0
Buddy Hield,99.79024,0,1,0
Cade Cunningham,99.79024,0,1,0
Caleb Houstan,92.98636,1,0,0
Caleb Martin,92.98636,1,0,0
Cam Christie,86.18248,1,0,0
Cam Reddish,98.429464,0,1,0
Cam Spencer,92.98636,1,0,0
Cam Thomas,95.25432,0,1,0
Cam Whitmore,104.32616,0,1,0
Cameron Johnson,95.25432,0,1,0
Cameron Payne,83.007336,1,0,0
Caris LeVert,92.98636,1,0,0
Cason Wallace,88.45044,1,0,0
Charles Bassey,104.32616,0,1,0
Chet Holmgren,94.347136,0,1,0
Chris Boucher,90.7184,1,0,0
Chris Duarte,86.18248,1,0,0
Chris Livingston,99.79024,0,1,0
Chris Paul,79.3786,1,0,0
Christian Braun,99.79024,0,1,0
Christian Koloko,102.0582,0,1,0
Chuma Okeke,103.872568,0,1,0
CJ McCollum,86.18248,1,0,0
Clint Capela,116.119552,0,0,1
Coby White,88.45044,1,0,0
Cody Martin,92.98636,1,0,0
Cody Williams,86.18248,1,0,0
Colby Jones,93.893544,0,1,0
Cole Anthony,83.91452,1,0,0
Cole Swider,99.79024,0,1,0
Colin Castleton,113.398,0,0,1
Collin Gillespie,88.45044,1,0,0
Collin Sexton,86.18248,1,0,0
Corey Kispert,101.604608,0,1,0
Cory Joseph,90.7184,1,0,0
Craig Porter Jr.,81.64656,1,0,0
Cui Yongxi,86.18248,1,0,0
D.J. Carton,90.7184,1,0,0
D'Angelo Russell,87.543256,1,0,0
Daeqwon Plowden,97.975872,0,1,0
Daishen Nix,107.954896,0,0,1
Dalano Banton,92.079176,1,0,0
Dalen Terry,88.45044,1,0,0
Dalton Knecht,97.52228,0,1,0
Damian Lillard,88.45044,1,0,0
Damion Baugh,87.996848,1,0,0
Damion Lee,95.25432,0,1,0
Daniel Gafford,120.20188,0,0,1
Daniel Theis,111.13004,0,0,1
Daniss Jenkins,74.84268,1,0,0
Danté Exum,97.068688,0,1,0
DaQuan Jeffries,100.697424,0,1,0
Dario Šarić,102.0582,0,1,0
Dariq Whitehead,99.79024,0,1,0
Darius Garland,87.089664,1,0,0
David Duke Jr.,92.532768,1,0,0
David Roddy,115.66596,0,0,1
Davion Mitchell,91.625584,1,0,0
Day'Ron Sharpe,120.20188,0,0,1
De'Aaron Fox,83.91452,1,0,0
De'Andre Hunter,100.243832,0,1,0
De'Anthony Melton,90.7184,1,0,0
Dean Wade,103.418976,0,1,0
Deandre Ayton,114.305184,0,0,1
DeAndre Jordan,120.20188,0,0,1
Dejounte Murray,81.64656,1,0,0
